model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 B-MAX,2010,Manual,63292,Diesel,1,44.6,2.0,3057
 Kuga,2019,Manual,20588,Diesel,145,65.9,2.0,15367
 Fiesta,2018,Manual,352,Petrol,145,48.2,1.1,16971
 Grand Tourneo Connect,2017,Automatic,24914,Diesel,145,59.3,1.5,16316
 KA,2017,Manual,12068,Petrol,30,56.1,1.2,4428
 Streetka,2003,Semi-Auto,141461,Petrol,214,37.5,1.7,954
 Focus,2019,Manual,3569,Petrol,145,61.8,1.0,9978
 Fiesta,2016,Semi-Auto,40980,Hybrid,24,66.1,1.6,6202
 Mondeo,2019,Automatic,20341,Other,0,67.1,2.0,13710
 Transit Tourneo,2013,Automatic,82440,Diesel,242,42.2,1.5,12998
 EcoSport,2018,Manual,29217,Petrol,145,64.0,1.0,8960
 Ka+,2016,Manual,29129,Petrol,145,55.3,1.2,7655
 EcoSport,2017,Semi-Auto,28071,Petrol,160,38.4,1.6,15281
 Tourneo Custom,2019,Manual,372,Diesel,144,37.9,2.0,32421
 Mondeo,2015,Semi-Auto,23396,Diesel,2,47.8,2.0,13087
 Focus,2014,Manual,30482,Petrol,32,58.3,1.6,7000
 Focus,2019,Manual,12999,Petrol,146,58.4,1.0,15173
 Mondeo,2013,Manual,28683,Diesel,23,63.0,1.5,7847
 Edge,2018,Semi-Auto,17712,Diesel,146,47.3,2.0,36262
 Kuga,2016,Semi-Auto,77032,Diesel,21,54.1,2.0,8252
 Mondeo,2015,Automatic,100786,Other,3,67.5,2.0,10444
 Fiesta,2018,Manual,27097,Petrol,125,57.8,1.0,9831
 Mondeo,2016,Automatic,17159,Electric,1,66.9,2.0,16032
 Fiesta,2016,Manual,31914,Petrol,1,60.7,1.0,9926
 B-MAX,2018,Semi-Auto,17006,Petrol,145,47.4,2.0,10965
 Kuga,2019,Semi-Auto,3405,Diesel,145,39.7,1.5,23130
 Mondeo,2016,Automatic,27499,Hybrid,0,67.3,2.0,15056
 Focus,2018,Manual,26907,Petrol,149,59.5,1.0,15973
 Fiesta,2018,Manual,29225,Petrol,29,58.1,1.0,9535
 Puma,2018,Semi-Auto,11924,Petrol,145,52.6,1.0,17008
 Focus,2019,Manual,3321,Diesel,145,48.4,1.5,22813
 Focus,2018,Manual,19399,Petrol,146,73.8,1.0,10841
 Focus,2018,Manual,2368,Petrol,145,58.2,1.0,17705
 Fusion,2002,Automatic,104977,Petrol,260,35.3,1.5,495
 Mondeo,2021,Automatic,12698,Hybrid,142,53.7,2.0,19044
 Mondeo,2010,Manual,74933,Petrol,145,56.4,2.0,2429
 Mondeo,2009,Automatic,46106,Petrol,251,40.5,1.6,495
 Edge,2018,Manual,33173,Diesel,146,55.6,2.0,23335
 Galaxy,2016,Automatic,46975,Diesel,126,56.9,2.0,15506
 Mondeo,2019,Automatic,2409,Hybrid,144,65.2,2.0,26347
 Fiesta,2015,Manual,56039,Diesel,124,74.4,1.5,7901
 Fiesta,2018,Automatic,1418,Petrol,144,36.5,1.5,15211
 Kuga,2014,Manual,26227,Diesel,30,53.8,2.0,3074
 Ka+,2018,Manual,10838,Petrol,145,54.3,1.2,6432
 Mustang,2006,Semi-Auto,5828,Petrol,145,33.5,2.8,27110
 Galaxy,2016,Semi-Auto,28519,Diesel,127,57.6,2.0,14430
 Tourneo Connect,2017,Manual,21749,Diesel,145,57.9,1.5,11973
 S-MAX,2016,Manual,25696,Diesel,127,56.0,2.0,15523
 Fiesta,2018,Semi-Auto,1395,Petrol,145,57.5,1.0,9471
 Streetka,2005,Manual,119170,Petrol,268,35.7,1.4,3484
 C-MAX,2018,Automatic,19877,Petrol,125,59.8,1.0,13391
 KA,2018,Manual,8722,Petrol,28,57.2,1.0,9589
 KA,2009,Manual,113287,Petrol,30,54.0,1.2,3570
 Mondeo,2019,Automatic,13209,Electric,146,65.7,2.0,16761
 Grand Tourneo Connect,2016,Manual,28116,Diesel,145,60.7,1.5,13551
 B-MAX,2016,Manual,34182,Petrol,22,55.8,1.0,10329
 EcoSport,2019,Automatic,5319,Petrol,144,41.1,1.0,15300
 Mustang,2018,Semi-Auto,9598,Diesel,144,45.8,1.5,38299
 Galaxy,2016,Automatic,22444,Diesel,127,52.6,2.0,18511
 Mondeo,2015,Automatic,19004,Other,2,67.1,2.0,12184
 Fiesta,2018,Manual,7518,Petrol,146,46.5,1.1,16617
 Kuga,2009,Automatic,63990,Diesel,231,40.0,1.6,2048
 Fiesta,2018,Manual,14396,Petrol,145,66.0,1.0,10952
 Mondeo,2019,Automatic,16130,Hybrid,0,67.0,2.0,18335
 S-MAX,2016,Semi-Auto,32854,Diesel,126,56.4,2.0,15706
 Fiesta,2006,Automatic,74086,Petrol,250,42.6,1.5,11745
 Focus,2013,Manual,46999,Diesel,0,75.4,1.5,8510
 Mondeo,2020,Automatic,5673,Hybrid,140,52.4,2.0,21553
 Kuga,2018,Semi-Auto,1924,Petrol,145,47.8,2.0,15929
 Fiesta,2018,Manual,10335,Petrol,145,60.6,1.0,10360
 Kuga,2019,Automatic,9221,Diesel,145,44.1,1.5,19557
 Focus,2019,Manual,993,Petrol,145,40.1,1.0,15627
 Mondeo,2016,Manual,30509,Diesel,125,58.9,2.0,17835
 Kuga,2018,Semi-Auto,15002,Diesel,144,43.7,2.0,22520
 Kuga,2017,Semi-Auto,67215,Diesel,146,46.5,2.0,14938
 C-MAX,2017,Manual,34144,Petrol,20,58.5,1.0,9872
 Focus,2015,Manual,20523,Diesel,150,66.1,1.5,7372
 Fiesta,2019,Manual,5040,Petrol,145,33.7,1.0,17129
 Fiesta,2017,Manual,50056,Petrol,151,41.7,1.6,6899
 Focus,2015,Manual,76790,Diesel,0,66.6,1.5,9683
 Grand C-MAX,2014,Automatic,74287,Diesel,30,65.2,1.5,5887
 Focus,2018,Manual,10882,Petrol,150,73.6,1.0,18033
 Focus,2019,Manual,4785,Petrol,152,59.1,1.0,14565
 EcoSport,2019,Automatic,6907,Petrol,145,51.0,1.0,9405
 Focus,2018,Manual,82578,Diesel,145,39.7,2.0,15220
 Fiesta,2016,Semi-Auto,20013,Diesel,146,51.1,2.0,12150
 Mondeo,2017,Manual,106211,Diesel,32,58.6,2.0,7593
 C-MAX,2014,Manual,26067,Petrol,34,55.6,1.2,7568
 Kuga,2018,Manual,35683,Petrol,124,55.0,2.0,20613
 Fiesta,2018,Manual,14731,Petrol,146,59.3,1.0,11189
 Fiesta,2019,Manual,3171,Petrol,146,47.2,2.3,8688
 Ranger,2009,Manual,99721,Diesel,205,42.2,1.5,770
 KA,2013,Manual,35632,Petrol,29,53.3,1.2,2698
 Fiesta,2015,Manual,34844,Petrol,151,81.0,1.5,10483
 Focus,2019,Semi-Auto,4577,Petrol,149,42.1,1.0,16581
 Focus,2017,Automatic,23705,Diesel,29,59.6,1.5,15776
 Edge,2018,Semi-Auto,9372,Diesel,145,29.7,2.0,16565
 Focus,2017,Automatic,12413,Petrol,151,58.1,1.5,13635
 Fiesta,2018,Manual,14407,Petrol,155,67.2,1.0,12470
 EcoSport,2020,Manual,1851,Petrol,145,55.1,1.0,12155
 Focus,2009,Automatic,22892,Petrol,257,39.0,1.5,4022
 Ka+,2018,Manual,11464,Petrol,145,53.7,1.2,7634
 Mondeo,2015,Manual,60581,Diesel,204,57.5,2.0,688
 Tourneo Connect,2018,Automatic,18674,Diesel,145,59.5,1.5,19525
 Kuga,2018,Semi-Auto,13013,Diesel,145,74.4,2.0,17277
 Mondeo,2015,Automatic,19114,Other,0,65.5,2.0,16742
 Kuga,2018,Automatic,45799,Diesel,195,55.0,2.0,15056
 Fiesta,2018,Manual,3842,Petrol,145,50.1,1.1,9744
 Fiesta,2018,Manual,25527,Petrol,145,58.2,1.0,9846
 S-MAX,2016,Semi-Auto,33378,Diesel,127,58.7,2.0,14881
 C-MAX,2017,Automatic,15023,Petrol,145,52.3,1.5,11059
 Galaxy,2018,Semi-Auto,8595,Diesel,146,49.8,2.0,17600
 Fiesta,2018,Manual,18823,Petrol,145,63.3,1.1,7236
 Focus,2019,Automatic,2561,Petrol,145,35.8,1.5,21987
 Fiesta,2018,Semi-Auto,15115,Petrol,145,54.4,1.6,14722
 Kuga,2013,Manual,68946,Petrol,29,54.6,1.2,3547
 Kuga,2019,Automatic,12761,Diesel,145,40.9,1.5,13931
 Kuga,2017,Semi-Auto,13345,Diesel,145,53.5,1.5,15624
 Mondeo,2017,Automatic,21504,Electric,3,67.3,2.0,13966
 Kuga,2018,Automatic,11408,Petrol,151,40.8,1.5,12483
 Focus,2016,Automatic,24651,Petrol,125,38.2,1.5,11525
 Focus,2017,Manual,25858,Petrol,149,59.4,1.5,11374
 Fiesta,2013,Automatic,48225,Petrol,23,60.4,1.6,6766
 Mondeo,2019,Automatic,3443,Hybrid,144,51.5,2.0,24563
 Focus,2018,Automatic,15700,Petrol,145,42.5,1.5,16168
 EcoSport,2019,Manual,7376,Petrol,145,47.4,1.0,9997
 Focus,2016,Manual,37483,Diesel,0,81.5,1.5,13144
 Fiesta,2015,Manual,30852,Petrol,3,59.2,1.0,6832
 Kuga,2018,Manual,15446,Diesel,144,54.6,1.5,15248
 C-MAX,2018,Semi-Auto,24370,Diesel,145,31.0,2.0,24144
 EcoSport,2013,Automatic,17951,Petrol,145,57.9,1.5,9902
 C-MAX,2016,Manual,30822,Diesel,21,72.0,1.5,8156
 Kuga,2019,Automatic,10467,Diesel,144,65.3,1.5,13865
 Kuga,2016,Manual,22890,Diesel,30,54.4,1.5,9957
 Focus,2018,Manual,31681,Diesel,146,64.6,1.5,14346
 Fiesta,2016,Manual,15079,Petrol,30,64.0,1.0,9234
 Edge,2019,Semi-Auto,3043,Diesel,145,37.0,2.0,14761
 Mondeo,2016,Automatic,15149,Electric,2,67.8,2.0,14348
 Kuga,2010,Manual,78562,Diesel,206,42.0,2.0,5939
 Mondeo,2019,Automatic,7707,Hybrid,0,53.4,2.0,11995
 Fiesta,2014,Manual,62561,Diesel,2,75.6,1.5,8044
 KA,2014,Manual,122141,Petrol,29,55.2,1.2,1365
 S-MAX,2016,Manual,15582,Diesel,126,55.2,2.0,16819
 Focus,2019,Automatic,3968,Petrol,145,58.7,1.0,18137
 Focus,2016,Manual,32505,Petrol,126,61.5,1.0,9399
 Focus,2018,Manual,13549,Diesel,145,74.3,1.5,16788
 Focus,2017,Manual,34395,Petrol,145,61.0,1.0,15229
 Grand C-MAX,2017,Automatic,6906,Petrol,124,61.9,1.5,12437
 Edge,2018,Manual,19525,Diesel,146,47.7,2.0,18008
 Focus,2019,Manual,8787,Petrol,146,59.5,1.0,9562
 Puma,2020,Automatic,4805,Petrol,148,51.6,1.0,7881
 Kuga,2019,Semi-Auto,1435,Diesel,144,54.5,1.5,19227
 KA,2013,Manual,80655,Petrol,127,54.3,1.2,3535
 Focus,2005,Manual,33583,Petrol,156,39.4,1.4,3073
 Mondeo,2010,Automatic,39291,Hybrid,144,58.8,2.0,17061
 Focus,2017,Manual,41430,Petrol,146,58.4,1.0,13874
Focus,2006,Manual,12839,Petrol,154,51.5,2.4,29611
 Grand C-MAX,2016,Automatic,30737,Petrol,146,57.1,1.0,17173
 Fiesta,2015,Manual,31208,Petrol,145,64.5,1.2,7718
 S-MAX,2016,Manual,10854,Diesel,144,57.8,2.0,15358
 Edge,2018,Manual,12725,Diesel,146,24.0,2.0,16434
 EcoSport,2019,Automatic,3986,Petrol,145,39.8,1.5,17095
 Mondeo,2016,Automatic,17863,Electric,2,67.4,2.0,16263
 KA,2017,Manual,31566,Petrol,27,55.9,1.2,9774
 Tourneo Custom,2019,Manual,1,Diesel,145,22.8,2.0,35787
 Mondeo,2014,Manual,29767,Diesel,240,58.5,2.0,2632
 Kuga,2019,Manual,4348,Petrol,148,54.5,1.0,16336
 Kuga,2018,Manual,24506,Diesel,151,27.0,1.5,13106
 Kuga,2018,Manual,30156,Diesel,147,55.5,2.0,13656
 Tourneo Connect,2016,Manual,9100,Diesel,151,64.6,1.5,12496
 Kuga,2018,Manual,36629,Diesel,145,54.2,2.0,16737
 Focus,2019,Manual,3213,Petrol,145,61.6,1.0,13990
 Focus,2019,Manual,28192,Diesel,152,29.6,1.5,13706
 Kuga,2017,Manual,9340,Diesel,144,54.8,1.5,16734
 EcoSport,2018,Manual,23226,Petrol,145,58.9,1.0,14792
 Galaxy,2019,Manual,7574,Petrol,145,53.6,2.0,15160
 Focus,2016,Manual,43103,Diesel,0,75.0,1.5,6933
 Kuga,2018,Semi-Auto,38274,Diesel,145,58.6,2.0,15526
 Fiesta,2016,Manual,37309,Petrol,2,67.6,1.0,11575
 Focus,2019,Manual,1,Petrol,153,47.5,1.0,14661
 S-MAX,2016,Manual,106009,Diesel,125,57.1,2.0,16042
 Fiesta,2019,Semi-Auto,3416,Petrol,145,48.1,1.0,14403
 Grand C-MAX,2016,Automatic,71890,Diesel,34,65.2,1.5,8289
 Kuga,2018,Manual,12893,Diesel,145,81.0,1.5,11813
 EcoSport,2018,Semi-Auto,5141,Petrol,145,50.3,1.0,10330
 KA,2010,Manual,80694,Petrol,125,46.9,1.2,2106
 Mondeo,2019,Automatic,4666,Hybrid,142,41.8,2.0,21742
 Mondeo,2017,Manual,16436,Diesel,152,46.6,1.5,12587
Focus,2014,Manual,72633,Petrol,210,56.0,1.6,3660
 EcoSport,2018,Automatic,11775,Diesel,145,41.4,1.0,10443
 Kuga,2013,Manual,12773,Diesel,150,60.9,1.5,14185
 Focus,2016,Manual,34985,Petrol,0,61.9,1.0,10253
 Fiesta,2016,Semi-Auto,33598,Petrol,145,59.9,1.0,9818
 Mondeo,2019,Automatic,6764,Hybrid,142,54.6,2.0,25714
 Grand C-MAX,2017,Semi-Auto,24136,Diesel,152,60.5,2.0,10022
 Fiesta,2016,Manual,29483,Petrol,2,67.6,1.5,7055
 Tourneo Connect,2013,Manual,37353,Diesel,30,57.1,1.5,12456
 Focus,2017,Automatic,41973,Petrol,154,59.2,1.0,9250
 Mondeo,2016,Automatic,18739,Electric,2,67.1,2.0,16599
 Tourneo Custom,2019,Semi-Auto,2567,Diesel,145,20.8,2.0,22162
 Grand C-MAX,2016,Automatic,52739,Diesel,31,55.2,1.5,3530
 Grand C-MAX,2016,Manual,91742,Diesel,29,65.4,1.5,11846
 C-MAX,2016,Manual,22537,Petrol,18,56.0,1.0,10430
 Mondeo,2014,Automatic,16927,Hybrid,0,63.7,2.0,10898
 Kuga,2017,Manual,57049,Diesel,145,55.5,2.0,12305
 C-MAX,2016,Manual,105717,Diesel,25,62.7,1.2,981
 Edge,2018,Semi-Auto,34877,Diesel,146,53.1,2.0,21368
 Fiesta,2015,Manual,29847,Petrol,23,53.7,1.0,8627
 Mondeo,2019,Automatic,13330,Hybrid,141,57.9,2.0,26154
 Focus,2016,Automatic,58194,Diesel,2,74.6,1.5,12908
 Mondeo,2016,Automatic,21594,Electric,0,66.9,2.0,12421
 Kuga,2019,Manual,12887,Diesel,145,54.3,2.0,18905
 Fiesta,2018,Manual,24640,Petrol,146,61.9,1.1,9677
 Mondeo,2016,Manual,35513,Diesel,126,57.8,2.0,11336
 Mondeo,2015,Automatic,39170,Hybrid,0,66.4,2.0,13719
 Fiesta,2019,Manual,4939,Petrol,145,48.0,1.0,11969
 Tourneo Connect,2016,Manual,26700,Diesel,30,65.2,1.5,8804
 Mondeo,2015,Automatic,35579,Hybrid,0,67.4,2.0,12753
 S-MAX,2018,Semi-Auto,24107,Diesel,146,51.5,2.0,17046
 Kuga,2017,Manual,15779,Diesel,145,54.6,2.0,12508
 Fiesta,2017,Manual,24519,Petrol,31,65.0,1.0,8528
 Focus,2018,Manual,12566,Petrol,145,57.9,1.0,9763
 Focus,2017,Automatic,17522,Petrol,145,61.0,1.5,17139
 Puma,2020,Manual,16,Petrol,144,50.4,1.0,26032
 Fiesta,2018,Manual,9037,Petrol,145,59.6,1.0,10478
 Kuga,2018,Manual,27068,Diesel,144,61.5,1.5,19380
 Fiesta,2019,Manual,993,Petrol,145,48.5,1.0,10327
 Kuga,2018,Semi-Auto,14967,Diesel,145,53.9,2.0,17174
 C-MAX,2016,Manual,49797,Diesel,20,60.6,1.5,10376
 Focus,2019,Manual,37115,Diesel,145,75.0,1.5,11545
 Mondeo,2020,Semi-Auto,12731,Diesel,155,49.7,2.0,14299
 Kuga,2018,Automatic,10990,Diesel,145,53.7,2.0,15862
 Fiesta,2015,Manual,30295,Diesel,0,65.2,1.5,7420
 Kuga,2017,Manual,24606,Diesel,29,65.4,1.5,12515
 Focus,2017,Automatic,2528,Petrol,145,60.3,1.0,15875
 Fiesta,2017,Manual,24484,Diesel,1,65.1,1.5,8508
 Focus,2018,Manual,70439,Diesel,145,59.0,1.5,10372
 Tourneo Custom,2018,Semi-Auto,14500,Diesel,145,38.2,2.0,26215
 Mustang,2020,Semi-Auto,1707,Petrol,150,46.3,2.8,36456
 Focus,2019,Manual,2716,Diesel,146,40.2,1.5,16308
 Kuga,2018,Manual,13860,Diesel,145,56.8,2.0,14016
 Kuga,2017,Automatic,16341,Diesel,147,43.2,1.5,6485
 Grand C-MAX,2016,Manual,29386,Diesel,22,62.8,1.5,6948
 Fiesta,2007,Automatic,22991,Petrol,247,55.8,1.6,6792
 EcoSport,2020,Automatic,7728,Petrol,150,37.9,1.5,19589
 EcoSport,2018,Semi-Auto,20870,Diesel,154,47.1,2.0,16796
 Kuga,2018,Manual,36754,Diesel,145,64.9,1.5,12562
 Mondeo,2016,Automatic,18646,Electric,4,67.5,2.0,13316
 B-MAX,2017,Automatic,5926,Petrol,156,59.4,1.1,9546
 Edge,2018,Semi-Auto,23649,Diesel,146,47.7,2.0,20418
 Focus,2015,Manual,75281,Diesel,31,76.5,1.5,7195
 Kuga,2010,Semi-Auto,85829,Diesel,208,40.5,2.0,8811
 Kuga,2017,Semi-Auto,33503,Diesel,145,53.9,1.5,8354
 Mustang,2018,Manual,32301,Petrol,145,62.7,1.5,13077
 C-MAX,2016,Semi-Auto,32325,Petrol,145,52.1,1.0,10636
 Fiesta,2018,Manual,8059,Petrol,145,64.6,1.0,9977
 Focus,2016,Manual,33360,Petrol,126,59.3,1.0,12619
 Mondeo,2019,Automatic,3674,Hybrid,142,54.5,2.0,24206
 Ka+,2017,Manual,12201,Petrol,33,57.3,1.2,5385
 Fiesta,2017,Manual,10637,Petrol,123,59.5,1.0,11116
 Ka+,2018,Manual,4929,Petrol,145,59.6,1.2,10129
 Kuga,2017,Automatic,54276,Petrol,207,37.7,2.0,19719
 Fiesta,2016,Manual,27020,Diesel,1,66.7,1.5,9215
 Mondeo,2016,Manual,81369,Hybrid,3,65.9,2.0,11121
 Fiesta,2018,Manual,23776,Petrol,145,66.8,1.0,11631
 Fiesta,2017,Automatic,22008,Petrol,155,45.4,1.5,9922
 Fiesta,2018,Manual,17374,Petrol,30,47.5,1.2,6394
 Focus,2018,Manual,23989,Diesel,145,74.8,1.0,12832
 Kuga,2017,Semi-Auto,23611,Diesel,145,54.3,2.0,13612
 Galaxy,2016,Automatic,31231,Diesel,126,57.8,2.0,18051
 Focus,2019,Semi-Auto,7277,Petrol,126,56.0,1.0,9626
 Kuga,2018,Semi-Auto,36038,Diesel,145,54.8,2.0,17237
 EcoSport,2016,Automatic,33262,Petrol,243,42.3,1.0,10975
 Kuga,2017,Manual,60638,Petrol,145,32.5,1.2,7182
 Fiesta,2013,Manual,73863,Petrol,2,82.6,1.6,7266
 Galaxy,2016,Automatic,37683,Diesel,126,57.2,2.0,18482
 Ka+,2018,Manual,4384,Petrol,145,48.7,1.2,6084
 Kuga,2016,Manual,23752,Diesel,1,54.7,2.0,13530
 Galaxy,2017,Automatic,27715,Diesel,146,57.5,2.0,18753
 Puma,2020,Semi-Auto,26368,Petrol,145,50.0,1.0,17101
 KA,2016,Manual,9543,Petrol,30,53.5,1.0,11679
 B-MAX,2018,Manual,8329,Petrol,30,55.3,1.0,10417
 Kuga,2018,Semi-Auto,10022,Diesel,145,54.4,2.0,13324
 Kuga,2018,Automatic,19136,Petrol,145,58.6,2.0,13707
 Fiesta,2015,Manual,27551,Diesel,0,75.3,1.5,7388
 Transit Tourneo,2018,Manual,27635,Diesel,145,24.3,1.5,13023
 B-MAX,2016,Manual,30926,Petrol,154,54.5,1.6,6784
 B-MAX,2016,Manual,25445,Petrol,155,62.2,1.0,10686
 Mondeo,2019,Automatic,16041,Hybrid,146,65.3,2.0,18917
 Kuga,2013,Manual,63371,Diesel,2,87.2,1.5,7203
 B-MAX,2017,Manual,23289,Petrol,19,58.0,1.0,9808
 Focus,2018,Automatic,13016,Petrol,145,39.7,1.5,14523
 Fiesta,2018,Manual,13534,Petrol,145,54.1,1.0,9794
 Focus,2017,Automatic,133279,Petrol,243,38.0,1.5,14308
 S-MAX,2016,Semi-Auto,20107,Diesel,126,57.3,2.0,14786
 Mondeo,2019,Automatic,11099,Hybrid,147,57.4,2.0,19301
 Edge,2016,Semi-Auto,22584,Diesel,146,58.2,2.0,16034
 Fiesta,2017,Manual,14186,Diesel,0,76.6,1.5,8300
 Fiesta,2016,Manual,32460,Petrol,0,68.3,1.0,7751
 B-MAX,2017,Manual,35774,Diesel,124,65.6,1.5,7244
 Ka+,2017,Manual,13446,Petrol,145,47.5,1.2,5771
 B-MAX,2017,Manual,23917,Petrol,30,53.6,1.2,9169
 C-MAX,2014,Manual,101858,Diesel,23,65.8,1.6,1120
 Kuga,2014,Automatic,20842,Diesel,145,45.2,2.0,11967
 C-MAX,2016,Automatic,57789,Petrol,246,64.3,1.6,2853
 Kuga,2018,Semi-Auto,20641,Diesel,145,54.6,2.0,15344
 C-MAX,2018,Manual,9675,Petrol,145,57.5,1.0,9326
 Focus,2017,Manual,45309,Diesel,156,58.2,2.0,15692
 S-MAX,2016,Automatic,43951,Diesel,126,59.0,2.0,18772
 EcoSport,2017,Manual,7951,Petrol,20,67.1,1.0,15717
 Focus,2018,Manual,1371,Petrol,145,50.6,1.0,12320
 Focus,2020,Automatic,3478,Petrol,145,39.7,1.5,23584
 Focus,2017,Automatic,1350,Petrol,152,58.1,1.0,13812
 C-MAX,2016,Manual,41022,Petrol,29,60.7,1.0,10119
 Mondeo,2015,Automatic,24002,Other,1,67.7,2.0,12698
 Kuga,2014,Manual,61797,Diesel,2,66.6,1.5,5617
 EcoSport,2015,Manual,66538,Diesel,29,65.8,1.5,6964
 EcoSport,2016,Manual,27135,Petrol,125,55.6,2.0,8175
 Focus,2015,Manual,15199,Petrol,156,55.1,1.6,7617
 Focus,2019,Manual,2115,Petrol,145,51.0,1.0,10183
 S-MAX,2016,Automatic,22242,Diesel,146,38.5,2.0,17375
 Galaxy,2019,Automatic,4328,Diesel,145,55.2,2.0,17769
 Focus,2019,Semi-Auto,5437,Petrol,145,36.0,2.0,21472
 Kuga,2017,Semi-Auto,12381,Diesel,145,48.5,2.0,16069
 EcoSport,2017,Manual,12798,Petrol,124,67.5,1.0,18284
 Fiesta,2016,Semi-Auto,35995,Diesel,22,66.3,2.0,12178
 Kuga,2018,Semi-Auto,5057,Diesel,144,41.6,1.5,22792
 Focus,2015,Manual,51952,Diesel,1,54.9,2.0,7781
 Grand Tourneo Connect,2008,Manual,114214,Petrol,256,47.9,1.6,976
 Escort,2003,Manual,35645,Petrol,33,21.8,1.6,3078
 Focus,2018,Manual,18387,Petrol,145,57.3,1.5,11883
 Puma,2019,Manual,1,Petrol,142,47.3,1.0,26253
 EcoSport,2016,Automatic,22366,Petrol,125,51.6,1.0,10323
 Focus,2017,Automatic,20367,Petrol,150,58.4,1.0,11170
 Grand C-MAX,2013,Manual,57628,Diesel,31,64.2,1.5,2860
 Focus,2018,Manual,24160,Diesel,144,65.5,1.5,13802
 Kuga,2018,Manual,27596,Petrol,145,47.6,1.2,6214
 Kuga,2017,Semi-Auto,30101,Diesel,146,54.7,2.0,15126
 Fiesta,2018,Automatic,6516,Petrol,145,44.5,1.0,13464
 Fusion,2008,Manual,155882,Petrol,210,34.5,1.5,495
 Focus,2016,Automatic,19389,Petrol,125,58.3,1.0,15709
 Fiesta,2018,Manual,7978,Petrol,145,58.9,1.2,7664
 Kuga,2018,Automatic,10355,Petrol,245,37.6,1.5,3660
 Mustang,2020,Semi-Auto,1898,Diesel,144,46.9,2.8,36606
 Fiesta,2015,Manual,30827,Petrol,0,54.1,2.0,7220
 Fiesta,2016,Manual,24536,Petrol,0,65.2,1.0,9081
 Focus,2018,Manual,11616,Petrol,145,47.0,1.1,12096
Focus,2017,Automatic,6545,Diesel,159,25.2,1.5,15876
 Mondeo,2017,Automatic,72919,Diesel,255,58.6,2.0,12433
 EcoSport,2017,Manual,14676,Petrol,151,52.0,1.0,10241
 Mondeo,2018,Semi-Auto,4144,Diesel,145,52.9,2.0,19577
 Puma,2020,Semi-Auto,1864,Petrol,145,35.4,1.0,26050
 Tourneo Connect,2016,Manual,29898,Diesel,125,58.9,2.0,6369
 Ka+,2018,Automatic,22060,Petrol,146,58.4,1.2,10118
 Focus,2019,Manual,1,Petrol,145,48.1,1.0,19196
 Focus,2019,Manual,6685,Petrol,145,59.4,1.0,17505
 Puma,2019,Manual,3105,Diesel,146,54.1,1.0,14764
 Ka+,2017,Manual,24315,Petrol,145,58.4,1.2,9613
 EcoSport,2017,Automatic,5412,Petrol,145,60.0,1.0,12999
 Kuga,2018,Automatic,22369,Diesel,144,55.3,1.5,19450
 Fiesta,2018,Manual,1343,Petrol,145,63.8,1.0,19539
 Fiesta,2015,Manual,36523,Petrol,33,47.4,1.6,5875
 Fiesta,2016,Automatic,31832,Petrol,154,66.5,1.1,10885
 Kuga,2018,Manual,25824,Diesel,145,78.0,1.5,12534
 Fiesta,2018,Semi-Auto,7522,Petrol,145,46.9,1.2,6382
 Focus,2014,Automatic,79804,Diesel,0,78.9,2.0,15452
 S-MAX,2016,Semi-Auto,22530,Diesel,22,56.5,2.0,12145
 Kuga,2019,Semi-Auto,6130,Hybrid,141,41.5,2.0,23403
 Mustang,2020,Semi-Auto,3892,Petrol,145,37.9,2.8,36304
 Edge,2018,Semi-Auto,2516,Diesel,145,47.9,2.0,27203
 Focus,2018,Manual,25039,Diesel,145,64.4,1.5,13055
 C-MAX,2018,Manual,9680,Petrol,126,59.0,1.0,10323
 Kuga,2016,Automatic,22094,Diesel,125,61.3,2.0,13726
 EcoSport,2018,Manual,2138,Petrol,145,58.4,1.0,16405
 Mondeo,2014,Manual,106135,Diesel,254,59.4,1.6,682
 Grand C-MAX,2017,Manual,22379,Petrol,124,67.8,1.0,10296
 Kuga,2018,Semi-Auto,2031,Diesel,146,48.1,2.0,26539
 C-MAX,2016,Automatic,57408,Diesel,20,64.9,1.5,11150
 Fiesta,2016,Manual,36110,Petrol,127,47.2,1.0,11519
 Mondeo,2016,Automatic,33298,Diesel,146,62.7,2.0,16454
 C-MAX,2016,Automatic,41395,Petrol,31,59.1,1.6,4863
 S-MAX,2017,Semi-Auto,32568,Diesel,146,54.9,2.0,13918
 EcoSport,2017,Automatic,32675,Petrol,152,51.6,1.0,9642
 Focus,2018,Automatic,23566,Petrol,150,39.6,1.5,12468
 C-MAX,2016,Manual,41532,Diesel,28,66.4,1.5,10046
 Mondeo,2016,Automatic,27677,Electric,0,67.9,2.0,13993
 Kuga,2017,Semi-Auto,13946,Diesel,145,53.6,2.0,14727
 Mustang,2020,Semi-Auto,3264,Petrol,144,36.1,2.8,41557
 Fiesta,2015,Manual,28027,Petrol,254,47.6,1.2,7077
 Mondeo,2016,Semi-Auto,29724,Electric,4,66.3,2.0,6963
 Galaxy,2016,Automatic,27134,Diesel,125,60.6,2.0,13030
 Fiesta,2018,Manual,13991,Petrol,145,54.2,1.1,8198
 B-MAX,2018,Manual,22697,Petrol,145,59.3,1.6,10405
 Focus,2019,Manual,9851,Petrol,145,58.5,1.0,16768
